Gene Symbol	Gene ID	P-Value (Survival os)
TOP2A	ENSG00000131747.14	1.59e-10
SAE1	ENSG00000142230.11	5.27e-10
SPAG5	ENSG00000076382.16	4.73e-9
CDCA3	ENSG00000111665.11	8.22e-9
BIRC5	ENSG00000089685.14	9.08e-9
TK1	ENSG00000167900.11	1.12e-8
MTFR2	ENSG00000146410.11	1.21e-8
CEP55	ENSG00000138180.15	1.42e-8
CHEK1	ENSG00000149554.12	1.94e-8
KIF23	ENSG00000137807.13	2.27e-8
MYBL2	ENSG00000101057.15	2.36e-8
HJURP	ENSG00000123485.11	2.41e-8
CCNB2	ENSG00000157456.7	2.59e-8
AURKB	ENSG00000178999.12	2.64e-8
KPNA2	ENSG00000182481.8	2.83e-8
NEK2	ENSG00000117650.12	3.89e-8
LRFN4	ENSG00000173621.8	4.20e-8
PRC1	ENSG00000198901.13	4.57e-8
ORC6	ENSG00000091651.8	4.92e-8
UHRF1	ENSG00000276043.4	7.25e-8
IQGAP3	ENSG00000183856.10	8.26e-8
KIF14	ENSG00000118193.11	9.21e-8
CDCA5	ENSG00000146670.9	9.56e-8
KIF2C	ENSG00000142945.12	9.70e-8
CDC25A	ENSG00000164045.11	1.12e-7
ORC1	ENSG00000085840.12	1.12e-7
PRR11	ENSG00000068489.12	1.18e-7
AGAP2-AS1	ENSG00000255737.2	1.18e-7
TROAP	ENSG00000135451.12	1.24e-7
HN1	ENSG00000189159.15	1.29e-7
NDC80	ENSG00000080986.12	1.32e-7
TPX2	ENSG00000088325.15	1.44e-7
WDR62	ENSG00000075702.16	1.47e-7
CENPF	ENSG00000117724.12	1.52e-7
KIAA0101	ENSG00000166803.10	1.52e-7
SMG9	ENSG00000105771.13	1.52e-7
CEP78	ENSG00000148019.12	1.68e-7
FAM57A	ENSG00000167695.14	1.81e-7
SHCBP1	ENSG00000171241.8	1.84e-7
SPC25	ENSG00000152253.8	1.86e-7
TRIM28	ENSG00000130726.11	1.87e-7
THTPA	ENSG00000259431.5	2.08e-7
HELLS	ENSG00000119969.14	2.16e-7
CCDC150	ENSG00000144395.17	2.20e-7
PLK1	ENSG00000166851.14	2.23e-7
CDCA8	ENSG00000134690.10	2.56e-7
RACGAP1	ENSG00000161800.12	2.83e-7
CCNB1	ENSG00000134057.14	3.50e-7
CDCA2	ENSG00000184661.13	3.94e-7
NCAPG	ENSG00000109805.9	4.16e-7
CABYR	ENSG00000154040.20	4.59e-7
CDKN2A	ENSG00000147889.16	4.63e-7
FKBP10	ENSG00000141756.18	4.67e-7
KIF4A	ENSG00000090889.11	4.71e-7
H2AFX	ENSG00000188486.3	5.02e-7
KIF20A	ENSG00000112984.11	5.11e-7
MCM10	ENSG00000065328.16	5.49e-7
LMNB2	ENSG00000176619.10	5.58e-7
AUNIP	ENSG00000127423.10	5.60e-7
RECQL4	ENSG00000160957.12	5.78e-7
E2F7	ENSG00000165891.15	5.78e-7
TTK	ENSG00000112742.9	5.86e-7
CDC25C	ENSG00000158402.18	6.41e-7
ANLN	ENSG00000011426.10	6.44e-7
RIN1	ENSG00000174791.10	7.22e-7
CDK1	ENSG00000170312.15	7.38e-7
FOXM1	ENSG00000111206.12	8.02e-7
MCU	ENSG00000156026.14	8.15e-7
CENPK	ENSG00000123219.12	8.34e-7
NXT1	ENSG00000132661.3	8.55e-7
CTB-193M12.5	ENSG00000280206.1	8.74e-7
DPF1	ENSG00000011332.19	8.88e-7
P3H4	ENSG00000141696.12	8.91e-7
CTD-2353F22.2	ENSG00000279400.1	9.40e-7
KIFC1	ENSG00000237649.7	9.57e-7
RP11-161H23.5	ENSG00000258232.2	9.96e-7
TYMS	ENSG00000176890.15	1.02e-6
DSN1	ENSG00000149636.15	1.05e-6
TRIP13	ENSG00000071539.13	1.10e-6
CDC20	ENSG00000117399.13	1.11e-6
GJC1	ENSG00000182963.9	1.19e-6
HPR	ENSG00000261701.6	1.22e-6
CCNF	ENSG00000162063.12	1.23e-6
