Gene Symbol	Gene ID	P-Value (Survival os)
MXD3	ENSG00000213347.10	3.15e-9
DNA2	ENSG00000138346.14	3.21e-9
TRIP13	ENSG00000071539.13	8.17e-9
EME1	ENSG00000154920.14	8.36e-9
PRC1	ENSG00000198901.13	9.56e-9
ZWINT	ENSG00000122952.16	1.03e-8
NVL	ENSG00000143748.17	1.91e-8
DNAJC9	ENSG00000213551.4	1.95e-8
KIF11	ENSG00000138160.5	2.51e-8
MKI67	ENSG00000148773.12	2.97e-8
ASPM	ENSG00000066279.16	3.52e-8
KIF18A	ENSG00000121621.6	3.52e-8
LMO7	ENSG00000136153.19	3.95e-8
LHX2	ENSG00000106689.10	5.93e-8
CDK1	ENSG00000170312.15	6.21e-8
MCM10	ENSG00000065328.16	6.48e-8
UBE2SP2	ENSG00000224126.2	6.55e-8
PSMC3IP	ENSG00000131470.14	6.64e-8
HOXC11	ENSG00000123388.4	6.85e-8
INTS7	ENSG00000143493.12	7.06e-8
PTMA	ENSG00000187514.14	7.40e-8
SNRPA	ENSG00000077312.8	7.76e-8
NUP188	ENSG00000095319.14	7.84e-8
HAUS8	ENSG00000131351.14	9.22e-8
ZMYND19	ENSG00000165724.5	1.00e-7
CTD-3065J16.6	ENSG00000204791.8	1.07e-7
CEP95	ENSG00000258890.6	1.21e-7
HELLS	ENSG00000119969.14	1.22e-7
DNMT1	ENSG00000130816.14	1.22e-7
TACC3	ENSG00000013810.18	1.28e-7
H1F0	ENSG00000189060.5	1.28e-7
TMEM105	ENSG00000185332.6	1.66e-7
TMEM183A	ENSG00000163444.11	1.69e-7
IQGAP3	ENSG00000183856.10	1.70e-7
CHAF1A	ENSG00000167670.15	1.87e-7
RP11-152N13.5	ENSG00000227540.1	1.89e-7
FANCG	ENSG00000221829.9	2.15e-7
CBX2	ENSG00000173894.10	2.26e-7
TROAP	ENSG00000135451.12	2.40e-7
LINC00152	ENSG00000222041.10	2.58e-7
KIF18B	ENSG00000186185.13	2.81e-7
USP2	ENSG00000036672.15	3.05e-7
CLSTN1	ENSG00000171603.16	3.20e-7
SPC24	ENSG00000161888.11	3.25e-7
CAMTA1	ENSG00000171735.18	3.26e-7
UBE2C	ENSG00000175063.16	3.28e-7
EP400NL	ENSG00000185684.12	3.50e-7
NXPH4	ENSG00000182379.9	3.73e-7
NUF2	ENSG00000143228.12	3.74e-7
ACBD6	ENSG00000230124.6	3.77e-7
B4GALT2	ENSG00000117411.16	3.88e-7
RP11-480I12.5	ENSG00000214796.8	3.94e-7
RECQL4	ENSG00000160957.12	3.94e-7
CDCA8	ENSG00000134690.10	3.99e-7
OTX1	ENSG00000115507.9	4.08e-7
SLC29A4	ENSG00000164638.10	4.60e-7
WDR62	ENSG00000075702.16	4.61e-7
CEP55	ENSG00000138180.15	4.65e-7
EPRS	ENSG00000136628.17	4.69e-7
EXOSC2	ENSG00000130713.15	4.85e-7
FANCI	ENSG00000140525.17	5.43e-7
ARHGEF39	ENSG00000137135.17	5.46e-7
DDX39A	ENSG00000123136.14	5.46e-7
NDRG4	ENSG00000103034.14	5.82e-7
INPP5E	ENSG00000148384.11	5.84e-7
RP5-966M1.6	ENSG00000243696.4	5.87e-7
C17orf53	ENSG00000125319.14	6.18e-7
RP11-1023L17.1	ENSG00000215158.9	6.45e-7
CDCA3	ENSG00000111665.11	6.45e-7
RNASEH2A	ENSG00000104889.4	6.75e-7
CENPW	ENSG00000203760.8	6.86e-7
POLQ	ENSG00000051341.13	7.15e-7
DHDH	ENSG00000104808.7	7.20e-7
TICRR	ENSG00000140534.13	7.93e-7
FSCN1	ENSG00000075618.17	8.09e-7
SULF2	ENSG00000196562.14	8.20e-7
PRPF3	ENSG00000117360.12	8.26e-7
GTSE1	ENSG00000075218.18	8.33e-7
DDN	ENSG00000181418.7	8.34e-7
LIG1	ENSG00000105486.13	8.36e-7
SHROOM1	ENSG00000164403.14	8.55e-7
KIF2C	ENSG00000142945.12	8.56e-7
MASTL	ENSG00000120539.14	8.63e-7
DGKD	ENSG00000077044.9	8.77e-7
HAGLROS	ENSG00000226363.3	8.80e-7
NEMP1	ENSG00000166881.9	8.87e-7
LGALS4	ENSG00000171747.8	8.87e-7
CENPA	ENSG00000115163.14	8.93e-7
PPP1R14B	ENSG00000173457.10	8.94e-7
CHTF18	ENSG00000127586.16	8.99e-7
FAAP20	ENSG00000162585.16	9.23e-7
ILKAP	ENSG00000132323.8	9.65e-7
YJEFN3	ENSG00000250067.11	1.01e-6
TET3	ENSG00000187605.15	1.06e-6
CHEK2	ENSG00000183765.20	1.09e-6
MEX3A	ENSG00000254726.2	1.09e-6
FAM132A	ENSG00000184163.3	1.12e-6
RP11-803D5.1	ENSG00000279191.1	1.12e-6
MIR503HG	ENSG00000223749.7	1.13e-6
CTB-193M12.5	ENSG00000280206.1	1.18e-6
AUP1	ENSG00000115307.16	1.19e-6
KIF4A	ENSG00000090889.11	1.21e-6
ITM2C	ENSG00000135916.15	1.22e-6
APOBEC3B	ENSG00000179750.15	1.23e-6
HMGN2	ENSG00000198830.10	1.26e-6
DNMT3A	ENSG00000119772.16	1.30e-6
CTD-2589H19.6	ENSG00000271781.1	1.31e-6
SDCCAG3	ENSG00000165689.16	1.31e-6
SNHG1	ENSG00000255717.6	1.34e-6
CDCA7	ENSG00000144354.13	1.35e-6
C14orf80	ENSG00000185347.17	1.44e-6
PIFO	ENSG00000173947.13	1.45e-6
ESPL1	ENSG00000135476.11	1.45e-6
ZNF496	ENSG00000162714.12	1.46e-6
NOP2	ENSG00000111641.10	1.47e-6
P3H1	ENSG00000117385.15	1.49e-6
SAMD1	ENSG00000141858.11	1.57e-6
FAM72D	ENSG00000215784.5	1.60e-6
DLGAP5	ENSG00000126787.12	1.62e-6
TCF3	ENSG00000071564.14	1.63e-6
GSTA1	ENSG00000243955.5	1.63e-6
BGLAP	ENSG00000242252.1	1.69e-6
RP11-151A10.3	ENSG00000282787.1	1.71e-6
ITIH3	ENSG00000162267.12	1.73e-6
POLD1	ENSG00000062822.12	1.78e-6
RMI2	ENSG00000175643.8	1.85e-6
RFXANK	ENSG00000064490.13	1.87e-6
SET	ENSG00000119335.16	1.88e-6
SUZ12P1	ENSG00000264538.6	1.89e-6
GAPVD1	ENSG00000165219.21	1.90e-6
SHOX2	ENSG00000168779.19	1.93e-6
UHRF1	ENSG00000276043.4	1.94e-6
RP11-108L7.15	ENSG00000273162.1	2.05e-6
DHX34	ENSG00000134815.18	2.09e-6
LYG1	ENSG00000144214.9	2.11e-6
CDKN3	ENSG00000100526.19	2.12e-6
KRTCAP2	ENSG00000163463.11	2.12e-6
CDCA5	ENSG00000146670.9	2.16e-6
NSMCE4A	ENSG00000107672.14	2.17e-6
COPS7B	ENSG00000144524.17	2.18e-6
RP11-360L9.7	ENSG00000253174.2	2.18e-6
RNF180	ENSG00000164197.11	2.18e-6
KHDRBS1	ENSG00000121774.17	2.19e-6
RPL22	ENSG00000116251.9	2.20e-6
NPM3	ENSG00000107833.10	2.28e-6
STK25	ENSG00000115694.14	2.30e-6
HOXA11	ENSG00000005073.5	2.42e-6
CHAF1B	ENSG00000159259.7	2.54e-6
CCNA2	ENSG00000145386.9	2.58e-6
TUBB4B	ENSG00000188229.5	2.68e-6
BUB1	ENSG00000169679.14	2.72e-6
CDC20	ENSG00000117399.13	2.78e-6
QSOX2	ENSG00000165661.15	2.79e-6
CKS2	ENSG00000123975.4	2.79e-6
C9orf142	ENSG00000148362.10	2.80e-6
MARS	ENSG00000166986.12	2.89e-6
CDC45	ENSG00000093009.9	2.92e-6
CENPL	ENSG00000120334.15	2.94e-6
HJURP	ENSG00000123485.11	2.97e-6
FAM136A	ENSG00000035141.7	2.98e-6
HNRNPCP1	ENSG00000258900.1	3.07e-6
KIAA0101	ENSG00000166803.10	3.08e-6
EXO1	ENSG00000174371.16	3.12e-6
